"","Theatre","Show","Type","Date","Year","Month","Avg_Attendance","Avg_Gross","Avg_Capacity"
"285","Gershwin","Riverdance","Musical","3/12/00",2000,3,12149,698740,90
"286","Minskoff","Saturday Night Fever","Musical","3/12/00",2000,3,9725,563837,72
"287","Helen Hayes","Squonk","Musical","3/12/00",2000,3,1733,61472,37
"288","St. James","Swing!","Musical","3/12/00",2000,3,8071,392968,59
"289","New Amsterdam","The Lion King","Musical","3/12/00",2000,3,14514,933213,101
"290","Majestic","The Phantom Of The Opera","Musical","3/12/00",2000,3,12544,682852,98
"291","Virginia","The Wild Party","Musical","3/12/00",2000,3,3901,188517,80
"292","Circle In The Square","True West","Play","3/12/00",2000,3,3735,199288,75
"293","Eugene O'Neill","Waiting In The Wings","Play","3/12/00",2000,3,5828,241365,68
"294","Walter Kerr","A Moon For The Misbegotten 00","Play","3/19/00",2000,3,4947,225309,66
"295","Palace","Aida","Musical","3/19/00",2000,3,11635,626422,97
"296","Music Box","Amadeus","Play","3/19/00",2000,3,6458,250358,81
"297","Marquis","Annie Get Your Gun","Musical","3/19/00",2000,3,12510,729663,98
"298","Lunt-Fontanne","Beauty And The Beast","Musical","3/19/00",2000,3,12032,639996,102
"299","Studio 54 ('98)","Cabaret 98","Musical","3/19/00",2000,3,7035,487647,96
"300","Winter Garden","Cats","Musical","3/19/00",2000,3,11444,563412,97
"301","Shubert","Chicago","Musical","3/19/00",2000,3,10244,614970,88
"302","Vivian Beaumont","Contact","Musical","3/19/00",2000,3,8411,518411,99
"303","Booth","Dame Edna: The Royal Tour","Play","3/19/00",2000,3,5385,252955,88
"304","Richard Rodgers","Footloose","Musical","3/19/00",2000,3,10566,454561,98
"305","Broadhurst","Fosse","Musical","3/19/00",2000,3,8794,560291,96
"306","Golden","Jackie Mason: Much Ado About Everything","Play","3/19/00",2000,3,3114,158849,90
"307","Belasco","James Joyce'S The Dead","Musical","3/19/00",2000,3,5665,244361,71
"308","Plymouth","Jekyll & Hyde","Musical","3/19/00",2000,3,8252,448789,97
"309","Martin Beck","Kiss Me, Kate","Musical","3/19/00",2000,3,10230,698004,90
"310","Imperial","Les Miserables","Musical","3/19/00",2000,3,10966,541897,97
"311","Broadway","Miss Saigon","Musical","3/19/00",2000,3,11571,499734,83
"312","Nederlander","Rent","Musical","3/19/00",2000,3,9546,516770,101
"313","Gershwin","Riverdance","Musical","3/19/00",2000,3,13489,732205,100
"314","Minskoff","Saturday Night Fever","Musical","3/19/00",2000,3,11057,614431,82
"315","Helen Hayes","Squonk","Musical","3/19/00",2000,3,2571,97865,56
